code,title
SR62,- - - - Pattern resulting in abnormal number of organs and appendages (TM2)
SR63,- - - - Pattern of abnormal positioning of organs and appendages (TM2)
SR64,- - - - Pattern of abnormal relative position of organs (TM2)
SR65,- - - - Loss of continuity pattern (TM2)
SR66,- - - - Rīḥ pattern (TM2)
SR67,- - - - Bukhārāt pattern (TM2)
SR68,- - - - Compound pattern (TM2)
SR69,- - - - Pattern of quantity (TM2)
SR6Y,- - - - Other specified physical constituent derangement patterns (TM2)
SR6Z,"- - - - Physical constituent derangement patterns (TM2), unspecified"
SR80,- - - - Morbid increase of feces pattern (TM2)
SR81,- - - - Depletion of faeces pattern (TM2)
SR82,- - - - Excessive urine pattern (TM2)
SR83,- - - - Reduced urine pattern (TM2)
SR84,- - - - Hyperhidrosis pattern (TM2)
SR85,- - - - Anhidrosis pattern (TM2)
SR86,- - - - Faeces with undigested food residues pattern (TM2)
SR87,- - - - Urine of over heat pattern (TM2)
SR88,- - - - Urine colour of excessive cold pattern (TM2)
SR89,"- - - - Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)"
SR8A,- - - - Urine like colour of raw-meat washings pattern (TM2)
SR8B,- - - - Delayed passing of stool pattern (TM2)
SR8C,- - - - Dry stool pattern (TM2)
SR8D,- - - - Larger quantity of stool pattern (TM2)
SR8E,- - - - Sharp smelling sweat pattern (TM2)
SR8F,- - - - Sour smelling sweat pattern (TM2)
SR8G,- - - - Sweat of thick consistency pattern (TM2)
SR8H,- - - - Sweat of thin consistency pattern (TM2)
SR8J,- - - - Lack of sweat pattern (TM2)
SR8K,- - - - Excess of sputum pattern (TM2)
SR8L,- - - - Lack of sputum pattern (TM2)
SR8M,- - - - Moderate quantity of sputum during convalescence pattern (TM2)
SR8N,- - - - Excess of sweat pattern due to decreased vitality (TM2)
SR8Y,- - - - Other specified excretory products derangement patterns (TM2)
SR8Z,"- - - - Excretory products derangement patterns (TM2), unspecified"
SS10,- - - - - Derangement of digestive power pattern (TM2)
SS11,- - - - - Irregular digestive power pattern (TM2)
SS12,- - - - - Elevated digestive power pattern (TM2)
SS13,- - - - - Subdued digestive power pattern (TM2)
SS14,- - - - - Highly elevated digestive power pattern (TM2)
SS15,"- - - - - State of incomplete digestion, transformation or metabolism pattern (TM2)"
SS16,- - - - - Natural digestive fire pattern (TM2)
SS17,- - - - - Strong digestive fire pattern (TM2)
SS18,- - - - - Toxic digestive fire pattern (TM2)
SS19,- - - - - Weak digestive fire pattern (TM2)
SS1Y,- - - - - Other specified digestive fire based patterns (TM2)
SS1Z,"- - - - - Digestive fire based patterns (TM2), unspecified"
SS20,- - - - - Suppression of breath pattern (TM2)
